part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
1769-IQ16,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,97,7-10 Days,Greinert & Glatt,Europe,5
1771-IBD,ALLEN BRADLEY,NEW SURPLUS,167,7-10 Days,Greinert & Glatt,Europe,5
1771-IFE,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,1953,7-10 Days,Greinert & Glatt,Europe,5
1786-BNCP,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,4.8,7-10 Days,Greinert & Glatt,Europe,5
1786-BNCP,ALLEN BRADLEY,NEW SURPLUS,4.4,7-10 Days,Greinert & Glatt,Europe,5
25B-D2P3N114,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,647,7-10 Days,Greinert & Glatt,Europe,5
2711-ND2DE,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,305,7-10 Days,Greinert & Glatt,Europe,5
2711-NM12,ALLEN BRADLEY,NEW SURPLUS,168,7-10 Days,Greinert & Glatt,Europe,5
42SMP-7600,ALLEN BRADLEY,NEW SURPLUS,36,7-10 Days,Greinert & Glatt,Europe,5
700-CF220B,ALLEN BRADLEY,NEW SURPLUS,18.6,7-10 Days,Greinert & Glatt,Europe,5
800EP-F3,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,2.6,7-10 Days,Greinert & Glatt,Europe,5
800EP-P4,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,2.3,7-10 Days,Greinert & Glatt,Europe,5
800F-Q3G,ALLEN BRADLEY,NEW SURPLUS,4.2,7-10 Days,Greinert & Glatt,Europe,5
802A-A26P3-S9,ALLEN BRADLEY,NEW SURPLUS IN SEALED PACKAGING,70,7-10 Days,Greinert & Glatt,Europe,5
855T-B24GL3,ALLEN BRADLEY,NEW SURPLUS,57,7-10 Days,Greinert & Glatt,Europe,5
855T-B24GL5,ALLEN BRADLEY,NEW SURPLUS,57,7-10 Days,Greinert & Glatt,Europe,5
BCSM18T4G2-PSC15G-S04G,BALLUFF,REFURBISHED,26,7-10 Days,Greinert & Glatt,Europe,5
BESM12MG1-POC60B-S04G,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,15,7-10 Days,Greinert & Glatt,Europe,5
BFOD22-LA-RB-EAK-10-02,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,15,7-10 Days,Greinert & Glatt,Europe,5
BISC-319-PU1-05,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,40,7-10 Days,Greinert & Glatt,Europe,5
BKS-S76-RT04,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,3.5,7-10 Days,Greinert & Glatt,Europe,5
BKS-S79-00,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,9,7-10 Days,Greinert & Glatt,Europe,5
BMF303-HW-30,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,2.6,7-10 Days,Greinert & Glatt,Europe,5
BMF303-HW-40,BALLUFF,NEW SURPLUS IN SEALED PACKAGING,1.5,7-10 Days,Greinert & Glatt,Europe,5
