part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
100-C23EJ400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23J10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23KD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23KJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23L10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23UD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23UEJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C23ZJ10-C,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30A10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30B00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30D*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30E*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30ED10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30EJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30EJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30J00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30J10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30KA00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30KD00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30KD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30KF00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30KL00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30Z*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C30ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37*00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37C00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37D00,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C37D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
